username,comment,likes
ayydeln,sekelas ui...,151963
06fizii,ui lagi ui lagi.. UIIAAUUIIIAAAUIIIIAA,108604
mojitowithberry,don't care...,0
zafiraaaaq,our future lawyer btw..,21827
aycaa__6,sekelas top 1 loh,44989
.hm_122,"[Sticker] padahal FH, UI lagi",30587
xsydle,ternyata bener yaa pendidikan tidak menentukan pola pikir manusia..,152900
whoopspiw,"banyak, kebetulan UI doang yg ke up",31634
ayaaaa4_4,fakultas hukum loh :(,45530
xyzaxxkaxz,ahahaha udahlah guys UI gak seindah itu,5722
homecity23,"""ini yg ke publish doang"" wtf 😔",59822
jieee897,[Sticker] kampus itu lagii.,4903
infphuwin03,[Sticker] f-fakultas hukum..?,2820
jeeeremyy._,our future lawyer btw💜💜,7664
urexpectation,"[Sticker] sebagai calon hakim yang amanah dan bertanggung jawab di masa depan, aku marah banget sih",6711
_.syifl0ove,"[Sticker] belajarnya sampe ke UI, fakultas hukum, bisa gitu ya",38
m4tch4loverr_,FH loh☹️🥹,1081
intann.taa15,fakultas hukum loh...,6
alxsnelux,"[Sticker] ui ini, tidak jadi gokil",1204
meowsl_,bahkan jurusan hukum yang harusnya jauh lebih ngerti dan bisa menegakkan hukum malah gini..,734
applecak,Fh ui kasus chat liat dimana ?😭,22169
kevinaprilingkai,"Nih buat lu yg lgi nyari kmpus buat kuliah, KUALITAS MAHASISWA TIDAK DI TENTUKAN OLEH AKREDITASI KAMPUS, so dimanapun lu kuliah ttp lah jadi orang yg berkualitas baik dalam ilmu dan adab !!!",1768
angelaleestell,"[Sticker] Oh, univ ini lagi. Byee",0
saha.sia76,fasilitas hukum loh?,2352
faadiiillll,ui ternyata problematik y,10461
finnx770,"[Sticker] ini yg katanya ""univ top 1""",3413
heeliumz11,[Sticker] f-fakultas hukum?!,30
yanaaaaalov3,"sekelas fh ui....?, miris bgt🥲",57
zeraaaa881,UI? ANJIR..,107
_zncassss,sumpah sekelas UI 😭,33
slsabila.__2,UI..... mana fakultas hukum......,16
n0thingcare_,ui lohh..... univ terkenal jir,733
my_sar032,tidak FANTAST.,130
glngsptrr16,gokil sekelas UI mana fakultas HUKUM lagi 😭,4
carameltih_,KOBISAAA😭😭😭,18
nabilaaja0_,katanya hukum..,226
owhmylord2107,[Sticker] kampus itu lagi....,133
qiiyy.a,malu maluin,77
kittyclip_31,miris bgt,160
zyy_14j,real kampus itu di nilai bagus itu bukan seberapa besar nama kampus nya tapi seberapa niat dan giat kita untuk belajar di kampus itu jdi di mana pun juga ya siswa nya ga beda jauh,228
aquarriuz01,"Akhirnya nemu jg penjelasan kasusnya, drtd sliweran mahasiswa Ui pada live 2 orang disidang",386
ahn.luv,pantesan udh jarang aku Nemu yang minat UI,209
domiin0es,eh diatas lgi live klarif fh ui cuy,43
hoshin4_,[Sticker] top 1 btw,53
revan_7154,[Sticker] t-takuttt,65
immziaa1,kampus itu lg..,46
ansttasyaa,bikin malu,59
alloo3688,sekelas UI dan fakultas hukum? MIRISSSS,24
larasatiiagiss_,universitas ini lagi...,175
ily_cyx0,[Sticker] tidak fantastt,137
naa1waaa_,[Sticker] univ favorit gue...,41
nisdel30,baru melek ih,16
imcimolllllllll,UI LOHH ANJIR,13
azzruy,sakit sih,49
itoshirinnsgf,ui.. fakultas hukum...,11
medinn_11,[Sticker] Fh dan ui,12
alyssagemas,malu maluin ah,54
alyarmdni_,Mna fakultas hukum lagi😩,4
pinklyndy,"That’s why, adab harus lebih tinggi daripada ilmu",127
rifkyapping,ui + fakultas hukum? WTF,85
thisislilyie,sekelas fh ui...,33
vanjesya,[Sticker] oh jdi ini yang live tadi,48
r4ha12,padahal ui top 1 loh,176
tiaratasny_,our future lawyer 😂,27
unika_251,ini yg live tengah malam sampe yg liat 33k itu?,3
allea_cantiknya,"[Sticker] stress, stress",29
blqiisrryn,jujur takut..,37
shirenntsyy_,"fakultas hukum mana ui lgi, jir miris😔💔",74
ohifypototfzztz,[Sticker] TIDAK PANTASSSS,16
ayaachuu,ui loh ya..,20
ytta04400,jam segini lagi live kampusnya,31
rayaa.zhr,fakultas hukum yaa :(,36
xyz_.reh,[Sticker] ui woy ui..,23
hellocello_09,our future lawyer.......🥰,27
agiftasetiaji,"itu masih mahasiswa loh, gimana kalo udah lulus dia??🥲",22
cchlsasora,malu2in,41
chcrey_,jahat banget...,30
pika20111,"[Sticker] sebagai calon hakim yang amanah dan bertanggung jawab di masa depan, aku marah bngt sih",92
elita15151,lagi live tuh jam sampe jam segini,17
xxwiyounaa,"kayanya bnyk deh kasus kaya gini cuma bukan di UI doang, tapi belum naik aja berita nya",88
shindyh_,UI lohhh sekelas UI :),13
n0counter0,our future lawyer💜,73
zouu7777,"kampus overrated, di depan doang bagus di belakang kaya gini",115
naks_rebahan,aku nonton Ampe jam sgini blm selesai woilah 😭,78
excelliamborg,ui lhoo..,49
rrxoux,[Sticker] ,8
bngadslv_,"pantes tiba² bgt ada live, ternyata ada kasus ini yaa😭😭",59
kyle.irza,Cihuyyy,22
chycyml,mirisss,11
nataca1706,"UP PLSS, MIRIS BANGETTT
sakit hati banget sumpah😔😔",65
cicakrebusss_,ui bermasalah bgt😭😭,6
ffffffnnnnkkkkaaaaa,jujur takut...,21
soufkei,univ ini lagi…,21
vraa_jiee,astgaaa...,26
naura.hasna71,ohh yang di live tadi..,21
coffeuphoriaa,"UPP, aku ga terima banget sebagai orang yang bermimpi menjadi anak hukum.. :((",77
beritapopuleridn,Semalam nih live kasus ini,4
ssttffuu0,kampus itu lagi :),26
r4ha12,ternyata pendidikan harus berdampingan sama etika juga ya,64
annch4n_,DUNIA BUTUH LEBIH BANYAK ORANG BERILMU DAN BERHATI NURANI 💔 Pendidikan itu menjembantani akal dan nurani. UP pantau terus kasus ini agar tuntas dan tidak terjadi lagi ka,88
cys576,"Please, terapkan hidup untuk mengutamakan ADAB yang UTAMA dan PERTAMA. BerMORAL dan BerETIKA itu mulai dari diri sendiri, dengan menjaga hati, pikiran, perkataan, perbuatan atau perilaku agar tidak merugikan orang lain. That’s simple!",36
ayayyy_fahfahfahh,[Sticker] e-ee gajadi disini deh nanti. . .,406
arjunaanggara__,"Gua pernah denger ada yg bilang gini, ""Dulu, kampus menjadi besar karena mahasiswa/i nya berprestasi. Skrng, mahasiswa/i besar karena nama kampusnya."".",30
rafaalippii,INI YANG DI LIVE YA?,65
sweetmusicyy,kirain itu foto satu org rupanya banyak😭,44
k.edwardslee20133,"[Sticker] sebagai calon lawyer, jujur aku amat sangat kecewa dan ilfeel",29
jellypfish,sakit sih men,8
imeezyy,sakitttt,19
diashel2,cb nntn live report nya sampai saat ini 01:57 blm kelar,37
reee11_8,tadi live pas sidang nya lewat di beranda ku😭😭,6
sc_c222,"oalaahh ini too, yg barusan livenya sliweran td",23
smilee._00,"kata aku buat yang kuliah jangan menyia nyiakan kesempatan itu deh, ada loh orang yang berusaha mati matian biar bisa kuliah :(",21
liliaassfanyy,hmm kampus itu lagi..,19
thegirlsone,streesssss bgttttt,25
andincute980,[Sticker] miris dih,22
omiauww,malu maluin,10
moeezaraa,"lagi"" UI",24
aeveili,"[Sticker] YA AMPUN GA AMAN BGTT, SEDIH 💔💔",33
somayyyy25,srem bgt ya jmn skrg😭,15
3llc.nzwaa,"FH??
UI??
impian gue bgt ini pdhl...",18
co0kie.bells,[Sticker] HUKUM LOHH?!?!,39
whyuuuu94,"SEDIHHH BGTT waktu ibu dosen nya bilang “pas saya liat grupnya, ternyata nama saya juga ada di situ.” 😭😭😭",28
rmdhnixz,ga ui doang sih kayanya ya,234
username1127723,ini dia🥰,35
inijugafoto,baru kelar nonton live nya,24
senimanbungaapi008,lagi live.dr sore sampai skrg blm selesai,30
ijulyeager,banyak yg live wkwkkwk,28
jipang__,konsisten ya UI,11
outusby,lagi live tau😭 barusan lewat,94
lif3isuck,sakit sakit,14
always.juxz_,malu maluin.,13
nysavania,"stress bgt wkwk, sakittt",25
fitriasshauqi,"Barusan liat Live nya kak, sampai jam 3 pagi lewat.",6
aby_akmal___,"UI lho, kok malah PARAH",15
bassicallyjey,sakit bgt,12
nindatp_,bang makasih ya selalu ngasih info2 terbaru,6
tintingsahur,adab lebih penting dari pada ilmu,39
amymyyaa,sekelas fh ui anjir😭😭,16
botolpasir,orang yg ngerti hukum malah sering melanggar hukum🙏,19
tteletubiiesss,makin miriss aja,23
thisislilyie,"FAKULTAS HUKUM LOH, HUKUMMM",32
onyourysalsa,lagi live...,28
winkyeve.7,adab lebih tinggi dari pada ilmu,13
sy.oou,"ini bukan salah fakultas nya bukan salah univ nya, ini adalah salah pola berfikir dri kepribadian masing masing pelaku, adab selalu lebih tinggi dri ilmu, maka mulai skrg, jgn merendahkan org yg tidak kuliah dan begitupun sebaliknya krna kalo pribadi kita baik dimana aja pasti bisa sukses dan jadi ""org"" bkn tmpt yg menentukan tp diri kita sendiri",43
r4ha12,"padahal ui top 1,mana di fakultas hukum lagii miris banget yaa",22
21strobeli,ui lagi..,10
itsmechaissa_,SEKELAS UI... 😭,8
hendrfbc19a,mw kuliah dmn pun yg penting ADAB !!!,12
usersearchyou,adab lebih penting daripada ilmu.,10
kinsesso,kampus ini lagi,23
anak_dino1,miris banget🥺,12
gkpernhfyp0,sekelas fh ui…,28
seraphi__m,nih kampus sering banget ada masalah,9
vthvr30,tinggal kuliah baik² aja loh di UI🥺 ada banyak yg cita² kuliah disana tapi ga kesampaian🥺,11
ira_sianturi09,"[Sticker] kacaauu""",11
lesyeux_derosiee,[Sticker] reaksi gua pas baca twitt nyaa,81
nrdaa12,ada live ny barusan,7
31199450249,UI banyak bgt kasusnya 😭,11
silvaatns,Ui lgi wkwkwk,7
monvzw,UI ANJIR?,19
cipicapadabadubi,OH INI YANG LIVE ITU😭😭😭,636
beerussey,nyangka ga lo pada....,70
caica413,"HUKUM LOH, INI HUKUM WEE!!!!",24
demondjunaedi,msh live di tiktok sampai jam 2 malam di Auditorium,24
haecatta,ini mvpnya 😍😍,8
squa00ruby,pantes takdir gua ga masuk ui,23
qilaaaaaaaaaa14,uiuiuiuiuiuiuiui,25
jejaiyy,speechless...,5
whimsicale,sekelas ui u aa,38
dumpfordumbn,"NGL ga cuma ui, di kampus/kota lain juga banyak sebenernya, cuma belum ke up aja. may good things alwys protect good people.",17
cupc4klesc,ui lohh . . .,9
p1k111,live nya lewat di gua tbtb ada penjelasannya disini,12
triana_mr01,mirissss bangettt,31
dandeliians,sakitttt anjj stresssss,6
_gamiella,UI ga bosen kah?,10
yogurtncheese0,takut banget ya allah🥺,9
juliaaahadid,njs bgtt🥺🥺,10
rubbykoo6,"kakak pasti kecewa banget ya kak, mana satu almameter satu jurusan lagi😔😔",13
jab.el,ui lagi ui lagi,6
sdaylight,malu maluin sumpah,15
pann200211,[Sticker] 'fakultas ui' top one loh,13
guzman38910,UIIIIIIII,11
nobodyelseknowmee,lagi live tuh jam segini 01.43,13
nshliand,fakultas hukum?SEKALI LAGI FAKULTAS HUKUM?,12
koimasaquatic,jgn cm DO. Proses hukum jg.,12
celesvyn,your future lawyer btw…,5
fira.tiramisu.cak,UI lo UI😔,14
ooriii.ebot39,baru selesai liat live mereka di auditorium dari pihak fakultas katanya proses besok di mulai tapi blom dibilangin mau di DO atau gaknya kak mereka,6
duckkiedss,UI LAGI,8
arahilangkemana,ihh padahall ui tuh univ terkenal lohh,46
quuuokka,"banyak banget yang kaya gitu, di negeri atau swasta banyak, cuma mungkin belum ke up aja. makasih dammm, udah menyuarakan ini juga, kamu emang layak di akui tampan, pemberani, dan berprestasi.",10
youthjenyiee,fakultas hukum:(,12
makanyukk,Ui looooh ini Ui ???????????,6
msdnialia,brusan lwt live ny td,10
darchivesd,padahal fakultas hukum loh😿,7
abdankamila,Bukan dimana kamu belajar tapi bagaimana kamu belajar,6
seaaflow,that's why pendidikan itu harus berdampingan dengan etika,11
ze4_28,Padahal fh ui loh...,11
hasnosphere,hah kaget banyak bener,12
ladushink.prindavan,FH UI sekarang lagi live anjir,5
angll143,lagi disidang guys,318
ylnd010,aku baca chat mereka astaghfirullah astaghfirullah ishhh ketikannya 😭😭😭,1115
xyz123.com2,di atas vt ini masih live di jam 3 pagii,16
aefawls,speechlessssssss gw baca twit nya,52
sukasyon,Tidak pantas,13
yura_912124,loh bnyk yg live hari ini apakah soal kasus ini ? 😭😭,13
alphafoue,ayah ini arahnya kemana,14
adpjung,Jir kaya series nanno the reset itu kenyataan jirssss😭,7
sakmydik5,"ini yang ke publish, yang ga ke publish lebih banyakk",18
nin_dut7,ui? UI? yaampun,19
fransina250,[Sticker] tidak apaaaaa!!!,7
kayyenaaaaa,penasaran siapa yang cepuin,10
pwettypie_o,angkatan 23 tapi boros bgt,9
priydpsal,Ini aja yg kepublish…,5
keyyist,livenya lag lag smua sihh💔💔,7
nzhaaul,sakitttt bgttttt,9
andrestar11,SEKELAS UI? 😳,5
suka2gue28,adab harus lebih tinggi dari ilmu...,10
ptnitaagstia._,@🌵:pendidikan harus berdampingan sama etika,15
udzz5tec,[Sticker] fakultas+univ impian gw lagi,7
iniulpiiii,stressssss,8
rekomendasibymi,Skrg lagi live,10
zila_khanza,adab lebih baik dari pada ilmu 🥺,11
anticoremlbb2,"pelajaran buat kita jika nanti jadi orang tua, sebisa mungkin kasih makan anak dari rezeki yg Halal ya🥰🥰",20
yourboymaxy,"keknya banyak deh di hukum kampus lain, ga UI doang",14
bangjow29,[Sticker] ternyata bener yaa pendidikan tidak menentukan pola pikir manusia,5
rannotshrt,barusan di atas ada live sidangnya,9
inisafinaaa,"kaget banget, mana kampus gede lagi.. 😭",12
atingggwascryyy,malem ini banyak yg live mereka lagi klarif,7
anyholeworld,"ini yang baru kepublis, belum yg lain",12
hiinimeyyaa,univ top 1 loh bjir,17
meydinaaa03,"aku sbg anak hukum ngerasa jijik dan marah bgt liat kasus ini, poor my lady❤️❤️🥺",14
xubaci_11,[Sticker] lahhh lagi?,8
bubuzion,oooo rupanya kasus ini yg daritadi banyak live berseliweran,8
esguddeyy,barusaan liat live nyaa,3
hypranakyanto,live nya seru co,7
zeggy_,"kampus gw, mirisssssss",3
lotusnotbiscoff,STRESS,13
poyoyoii163,sakit benerrrr,3
zhraaiiaa,miriss bangett,12
jualanembakdee,"Gak jamin seseorang itu sekolah atau kuliah di mana, semua tergantung pribadi masing2.
ADAB LEBIH TINGGI DARIPADA ILMU!",14
claudesah5,ui lagi,21
adorbileb,padahal anak hukum 😔😔,6
zlntut,padhaal uii kampus impian gua bgtt,18
julianansaaa_,malu maluin,9
crumbl0.ve,lgsg ke triggered huft 💔,4
miantmb12,abang ini lewat pas pulak live,6
kantjengratu,akhirnya masuk tiktok jg wkwk,13
nadafiiii,"maaf ya utk para korban, gabisa repost atau pun nge up kasus ini ... jujur ketrigger parah setiap liat postingan kaya gini :(",21
frdiiii20,wtf ui lohhh,15
faddyyaa,stress,5
stefaniimarieee,ui loh... huft,16
userrrrrrrrrr_223,sakit bgtt sumpaaah.,8
agiloctav,malu bgt sebagai alumni,6
cwiesss,hedeh ui lagi ui lagi,7
syaaw3,jadi masuk ui ga yaa?😔💔,6
binijaehyun111,pantes jam segini rame bgt di fakultas itu live,3
lieee.___,lagi live guysssss,11
ed245263,"provikasi sekali mas, kalem mas emosional gitu",6
fucckj_,pentingnya memberi nafkah anak dgn duit halal,10
cipapp,paling bnr di ut,40
rm_why.rmdn2,[Sticker] UNIV TOP 1 ?,5
hanip_nieh,"barusan liat yg lagi live sidang nya, rame jir yg nonton di tiktok 99 ribu org jir 🗿",14
polatturkiye314,eh btw ada yg live juga serius dah,9
parkrerr,jadi ragu mau masuk ui.. 😭,40
ezexetly,"ga semua univ, tapi pasti ada aja",12
ccaakkwee,stress sumpah stress,7
vanillathunder__,ADAB DIATAS SEGALANYA 🙏🏽,7
pondphuwinonlyna27,"ya ampun..
mana fakultas hukum lagi..😔😔",12
telorkesyap,yaAllah padahal mau bgt UI tapi jadi takut,19
sweetflowerrr_,miriss,10
apcb_kocak,miris bgt,15
massmu0877,"LAGI RAME BANG, SEKARANG LAGI LIVE , CARI AJA",5
liaa.miww,@ᥴey 𐙚:ternyata bener yaa pendidikan tidak menentukan pola pikir manusia..,16
desccathv,@🌵: pendidikan harus berdampingan sama etika,3
jalanyuksal,MIRIS BGT SUMPAAAAHHH!!!! 😭😭😭😭😭,5
atika.putri576,Haha live nya di bawah bgt lagi😂,5
vnesssa_,jujur miris banget,5
youdontknowmeeee096,@🌵:pendidikan harus berdampingan sama etika,5
andeeeee03,lg nntnin live sidang terbukanya 😭,84
seprinapinka,"UI loh woi UI, mana FH lagi",6
usernameadrrr,sakit njir isi chatnya,17
blluckycl0verrr,sekarang lagi live sidang,36
mishalulla,LAGI LIVE KLARIF GUYS,25
denatalia.lestari,Sekelas UI ketikannya kaya gitu? Sakit banget!,9
hadehaduh_,[Sticker] calon” lawyer kita dawg 😔😔😔,7
yummthings,kak denger-denger beberapa dosen di sana juga jadi topik di grup mereka :C,11
hanbee_07,UI makin kesini gmna ya ...,16
breathtaking11,banyak kok bahkan org yg kerja di instansi hukum gangerti hukum,11
_tikamel,"ngeri"" ya ketikannya🥹",7
sukamiloenak,kak makasih sudah speak up<33,11
elzidhanfs,kampus top 1 itu lagi...,9
dairyylouv,oh inii kasus nya soalnya lewat di fyp gila sih parah bgt anjir,7
aisyahtwd,UI FAKULTAS HUKUM 😭,9
nyrzz_267,lama banget di live yg 14 gamau turun,13
thinkaboutblueee,10 menit lalu gua masih spam komen di live nya😭,6
itsmidyhm,Yaa ampuunn.. barusan lewat ada yg lagi live.. caption nya FH UI.. ku pikir ada apa kok tengah malam gini rame bgt.. nggk taunya ini toh ?? 😲😲,12
linaaauliasari0,jujur mkin mikir lgi.. kecewa bgt,11
bushyhairboimalcolm,look at my future lawyers dawg im dead 😭,6
ignasiafani,"miris sekali, pen nangis buat mahasiswa sekarang 😭",6
ilhamteoka__,[Sticker] untung aku ui pake n,67
pwrettsmoon,"[Sticker] sekarang lagi live, tapi tapi tapi udah tau lah yahh",20
a2683_71,sumpah ini dari kmrn UI terus yang bermasalah 😭,4
vlacns.8,[Sticker] masalah yg akseyna juga msh blm ada kelanjutan,8
manasaia_tau,"ga hanya mahasiswinya dilechkn tp dosen nya juga,sedih bgt",7
yzxsbj,eh ini yang di live ya?,19
kmstayk_,ohhhh ini yang dibahas di live,6
iyee.terserah,pas bgt lgi live,9
quenncengengg,d setiap fakultas pasti ada aja masalahnya 😭😭,6
hithree30,wah sialan si,6
alamajang,Dam makasih yaaa udah selalu ikut campur dan selalu membela perempuan🙏🏾😭🫰🏾,9
lalalslslas,tadi ada yng live,10
m__4rcos,ah kampus ini lagi...,8
ridooaja15,agak kaget si,5
ichachachu,"huhu fh, di ui lagii :(",7
liralngga_,syok bgt baca chat nya,11
sant111sn,hadeuhh malu maluin,5
k3nnethh._kn,ui lho yaa...,6
csyolaa,STRESS BGT YAALLAHH,10
sukahindia2,sekelas ui ternyata gitu💔,4
co0kies_cr,"[Sticker] bye UI, welcome STAN",7
v1bao,"eh ini kasusnya ada sidangnya ya? tadi gua buka x tulisannya ""sidang fk ui"" gua kira mksdnya lg sidang skripsi😭 lgsg gua skip td soalnya sibuk",17
lidiaayu4,malu pls...,7
x27409,sekelas PSIKOLOG juga ada kaya gitu bang,7
tellokbelluknyilocetak,kayak gitumah banyak cuma gak ke publish aja🗿,6
adadehhh__000,sekelas ui?uiiiii????????,8
cloudchees,mirisss,6
_apacoba10,padahal ui loh...,7
americano_latte_,liat live streaming nya jam 2 belum kelar😭,7
ishowthan,"fh ui, sekelas FH UI, broo..",11
kevin_ardynsh6,lagi live nohhh kak klariv wkwkwk,9
princerzkiii15,ui lagi ui lagi,4
aditkuyaa,ett senior nya sampe speak up ini,11
iputuwiradana,hadeh ui,3
fannytoruu,[Sticker] kampus ini lg,5
aidha382,"""ini yg baru ke publish"" 😌",7
avcgjsa,miriss,7
akupacarmingyuuuuu,kirain tadi live apa sampe jam sgini ga pulang pulang😭😭😭,3
duwihnv,baru selesai nonton livenya😭,8
apanih1,"itu lg live, lg di adain FORUM",7
zluerra,pls hukum loh... ih parah bangett,18
n_boost,kenapa kampus yg top kalo ada masalah ga pernah turun ranknya🫪🫩,8
nadzlaadr,ini ui mana ya? depok?,6
tiptaptoexixixi,DO ga sih,9
saharaaa6666,gk jdi ke ui dehh tktt😭,5
aishaaayp,SEKELASSSS UIIIIIIIIIIIIIII😭😭😭😭😭😭😭,7
twllllllllllllllll,kacau bgt,6
nydaahsnh,dag dig dug ngebaca nya 😭,10
yoeshikuy,hadehh😭 ngak ngerti lagi deh sama pikiran orang orang😭,10
qiyaaaaaaaa_4,ui kok bnyk kasus gitu si😌,6
kenzlerrsosis,"""kita kuliah nih kalian kan engga"", dammmnnnnnn",7
f.aryatama,Sekelas ui begini masya allah,4
rocv005,liat live klarif nya pusing anjjr,5
masbhakti,pengalihan isu apa ya,3
